"limelight-3","marmot",249,2690,117,"Backpacking","3-season","3-person"
"limelight-2","marmot",199,2100,104,"Backpacking","3-season","2-person"
"limelight-4","marmot",299,3770,127,"Backpacking","3-season","4-person"
"eos-1p","marmot",219,1250,91,"Backpacking","3-season","1-person"
"aura-2p","marmot",299,1980,102,"Backpacking","3-season","2-person"
"alpinist-2","marmot",495,2240,102,"Mountaineering","4-season","2-person"
"widi-3","marmot",499,3060,90,"Backpacking","3-season","3-person"
"limestone-4p","marmot",299,4961.2,152,"Carcamping","3-season","6-person"
"limestone-6p","marmot",389,6945.6,183,"Carcamping","3-season","6-person"
"hacienda-6p","marmot",599,9553.8,203,"Carcamping","3-season","6-person"
